,area,area,area,area
,mean,median,min,max
baths,,,,
1.0,1272.1025641025642,1191.0,0,4500
2.0,1774.840909090909,1668.5,696,4993
3.0,2338.154929577465,2229.0,1040,5068
4.0,3589.8709677419356,3245.0,1248,7578
5.0,3807.785714285714,3671.0,2228,5988
6.0,6593.666666666667,5223.0,4080,12563
8.0,14689.5,14689.5,14000,15379
