address,price,beds,baths,area
"16035 Bringard Dr, Detroit, MI 48205","$55,000",3,1.0,988
"8880 Minock St, Detroit, MI 48228","$74,900",3,2.0,1334
"9149 Cheyenne St, Detroit, MI 48228","$99,900",3,1.0,955
"15469 Hazelridge St, Detroit, MI 48205","$89,900",3,2.0,1376
"19919 Lindsay St, Detroit, MI 48235","$70,000",3,1.0,1640
"2247 Belvidere St, Detroit, MI 48214","$169,999",3,2.0,1625
"2494 Chicago Blvd, Detroit, MI 48206","$460,000",6,5.0,3509
"4635 John R St, Detroit, MI 48201","$390,000",1,1.0,3771
"2681 Nebraska St, Detroit, MI 48208","$210,000",4,3.0,1238
"18684 Strathmoor St, Detroit, MI 48235","$125,000",3,2.0,2192
"11643 Yosemite St, Detroit, MI 48204","$69,000",3,1.0,1311
"16401 Fairmount Dr, Detroit, MI 48205","$90,000",3,1.0,1200
"18504 Sussex St, Detroit, MI 48235","$89,000",3,1.0,1215
"9344 Whitcomb St, Detroit, MI 48228","$81,900",2,1.0,1705
"11435 Wyoming St, Detroit, MI 48204","$47,700",4,3.0,2073
"15032 Snowden St, Detroit, MI 48227","$65,000",3,2.0,1700
"3926 Three Mile Dr, Detroit, MI 48224","$225,000",3,3.0,2097
"19344 Asbury Park, Detroit, MI 48235","$140,000",3,2.0,1509
"12046 Whitcomb St, Detroit, MI 48227","$80,000",3,2.0,2100
"16588 Mansfield St, Detroit, MI 48235","$89,900",3,1.0,1100
"19366 Lamont St, Detroit, MI 48234","$85,000",2,1.0,1361
"16133 Steel St, Detroit, MI 48235","$70,000",3,2.0,1507
"10590 Beaconsfield St, Detroit, MI 48224","$69,900",3,1.0,1189
"3489 Algonquin St, Detroit, MI 48215","$75,000",4,1.0,1114
"18489 Manor St, Detroit, MI 48221","$139,900",3,1.0,1250
"8026 Lauder St, Detroit, MI 48228","$119,900",3,1.0,1356
"16874 Marlowe St, Detroit, MI 48235","$85,000",3,1.0,994
"9328 Patton St, Detroit, MI 48228","$80,000",3,1.0,1062
"1639 Lansing St, Detroit, MI 48209","$150,000",4,1.0,1585
"11660 Coyle St, Detroit, MI 48227","$85,000",3,1.0,1076
"9268 Sorrento St, Detroit, MI 48228","$85,000",3,1.0,1087
"3926 Aretha Ave, Detroit, MI 48201","$549,900",3,3.0,2098
"18965 Rutherford St, Detroit, MI 48235","$115,000",4,2.0,1881
"15474 Prest St, Detroit, MI 48227","$62,500",3,1.0,1093
"5977 Hillcrest St, Detroit, MI 48236","$144,900",3,2.0,1238
"14374 Coyle St, Detroit, MI 48227","$59,900",3,1.0,1300
"9910 Somerset Ave, Detroit, MI 48224","$75,000",3,1.0,1163
"17594 Heyden St, Detroit, MI 48219","$43,000",2,1.0,710
"10414 Bonita St, Detroit, MI 48224","$20,000",2,1.0,794
"19352 Woodingham Dr, Detroit, MI 48221","$170,000",3,2.0,1496
"294 Chalmers St, Detroit, MI 48215","$275,000",3,2.0,2148
"4406 Kensington Ave, Detroit, MI 48224","$190,000",3,1.0,1297
"19515 Greenview Ave, Detroit, MI 48219","$69,000",3,1.0,1018
"16224 Prest St, Detroit, MI 48235","$169,800",3,1.0,1300
"12663 Duchess St, Detroit, MI 48224","$67,000",3,1.0,974
"18421 Stahelin Ave, Detroit, MI 48219","$75,000",3,1.0,951
"15836 Patton St, Detroit, MI 48223","$82,000",3,1.0,828
"17336 Prairie St, Detroit, MI 48221","$300,000",3,2.0,2000
"18734 Kingsville St, Detroit, MI 48225","$40,000",3,1.0,970
"15721 Robson St, Detroit, MI 48227","$74,900",3,1.0,912
"12793 Payton St, Detroit, MI 48224","$85,000",3,1.0,968
"4773 Garland St, Detroit, MI 48214","$159,900",5,2.0,1445
"18485 Salem St, Detroit, MI 48219","$69,000",2,1.0,1193
"16226 Fairmount Dr, Detroit, MI 48205","$60,000",3,2.0,979
"20157 Wexford St, Detroit, MI 48234","$59,900",3,2.0,1068
"15639 Rossini Dr, Detroit, MI 48205","$89,999",2,2.0,696
"2544 Atkinson St, Detroit, MI 48206","$250,000",5,3.0,2429
"4370 Kensington Ave, Detroit, MI 48224","$245,000",3,2.0,2706
"14076 Rossini Dr, Detroit, MI 48205","$119,000",3,1.0,2203
"728 W Philadelphia St, Detroit, MI 48202","$225,000",4,2.0,1704
"7626 W Parkway St, Detroit, MI 48239","$117,000",3,1.0,1674
"1692 Virginia Park St, Detroit, MI 48206","$170,000",6,3.0,3526
"8603 Whitcomb St, Detroit, MI 48228","$85,000",2,1.0,795
"15494 Fairmount Dr, Detroit, MI 48205","$49,900",3,1.0,1350
"6240 Ashton Ave, Detroit, MI 48228","$70,000",3,1.0,0
"14070 Robson St, Detroit, MI 48227","$73,500",4,2.0,1674
"8645 Brace St, Detroit, MI 48228","$79,900",3,1.0,960
"6834 Charlevoix St, Detroit, MI 48207","$2,500",2,1.0,1322
"18744 Glastonbury Rd, Detroit, MI 48219","$149,999",3,1.0,1450
"4135 Somerset Ave, Detroit, MI 48224","$129,900",3,1.0,1250
"14741 Coram St, Detroit, MI 48205","$49,999",3,2.0,1400
"14279 Wilshire Dr, Detroit, MI 48213","$55,000",3,1.0,1300
"17190-82 Kentfield St, Detroit, MI 48219","$55,000",2,1.0,1540
"1512 S Annabelle St, Detroit, MI 48217","$10,600",3,2.0,744
"3238 Helen St, Detroit, MI 48207","$84,900",3,1.0,1475
"6701 Grandmont Ave, Detroit, MI 48228","$121,800",3,1.0,1000
"15487 Stansbury St, Detroit, MI 48227","$55,000",4,2.0,1345
"20251 Omira St, Detroit, MI 48203","$27,900",3,1.0,1342
"14134 Prevost St, Detroit, MI 48227","$64,900",6,2.0,2138
"16916 Carlisle St, Detroit, MI 48205","$59,000",3,1.0,1224
"16275 Rossini Dr, Detroit, MI 48205","$20,000",3,1.0,919
"9543 W Outer Dr, Detroit, MI 48223","$314,900",3,3.0,2229
"2657 Lothrop St, Detroit, MI 48206","$114,999",4,2.0,1468
"1451 Bewick St, Detroit, MI 48214","$10,000",3,1.0,1334
"20172 Hull St, Detroit, MI 48203","$65,000",4,3.0,1637
"974 E Hildale, Detroit, MI 48203","$35,900",2,1.0,832
"295 Alger St, Detroit, MI 48202","$100,000",9,5.0,4600
"19944 Ohio St, Detroit, MI 48221","$137,900",3,1.0,820
"9360 Mendota St, Detroit, MI 48204","$64,900",3,1.0,1216
"11717 Grayton St, Detroit, MI 48224","$45,000",3,1.0,1178
"12642 Wyoming St, Detroit, MI 48238","$69,900",3,1.0,1026
"9080 Lanco St, Detroit, MI 48204","$70,000",3,2.0,1563
"19727 Sorrento St, Detroit, MI 48235","$185,000",3,2.0,1471
"3439 Seminole St, Detroit, MI 48214","$750,000",5,3.0,5068
"7627 Quinn St, Detroit, MI 48234","$114,900",3,1.0,1977
"14730 E State Fair St, Detroit, MI 48205","$15,000",3,1.0,1024
"18107 Saint Marys St, Detroit, MI 48235","$110,000",3,2.0,1070
"15747 Northlawn St, Detroit, MI 48238","$40,000",3,1.0,1214
"20130 Cameron St, Detroit, MI 48203","$24,900",3,1.0,960
"19509 Washburn St, Detroit, MI 48221","$99,000",3,1.0,1173
"8434 Brace St, Detroit, MI 48228","$59,000",3,1.0,854
"6390 Begole St, Detroit, MI 48210","$45,000",3,1.0,1089
"3446 Seyburn St, Detroit, MI 48214","$40,000",3,1.0,1127
"19171 Glastonbury Rd, Detroit, MI 48219","$69,999",2,1.0,739
"16724 W Parkway St, Detroit, MI 48219","$37,900",2,1.0,921
"19212 Bradford St, Detroit, MI 48205","$34,000",3,1.0,0
"491 E Grand Blvd, Detroit, MI 48207","$398,900",10,5.0,3990
"4191 Courville St, Detroit, MI 48224","$200,000",3,2.0,1727
"11219 Portlance St, Detroit, MI 48205","$45,000",3,1.0,1100
"14160 Mettetal St, Detroit, MI 48227","$137,500",4,2.0,1467
"1960 Glynn Ct, Detroit, MI 48206","$275,000",4,2.0,2099
"9449 Brockton St, Detroit, MI 48211","$69,999",6,1.0,1500
"19303 Steel St, Detroit, MI 48235","$209,000",3,2.0,1801
