address,price,beds,baths,area
"17160 Glastonbury Rd, Detroit, MI 48219","$228,000",5,3.0,2550
"5929 Bishop Ave, Detroit, MI 48224","$140,000",3,3.0,3516
"5967 University Pl, Detroit, MI 48224","$110,000",4,2.0,1782
"7655 Heyden St, Detroit, MI 48228","$89,000",3,1.0,896
"9909 Coyle St, Detroit, MI 48227","$68,900",3,3.0,2203
"3025 W Philadelphia St, Detroit, MI 48206","$78,000",3,1.0,1728
"761 Lillibridge St, Detroit, MI 48214","$299,999",3,3.0,1676
"19221 Strathcona Dr, Detroit, MI 48203","$1,050,000",5,5.0,5988
"19365 Monica St, Detroit, MI 48221","$249,000",3,2.0,1950
"3336 Glynn Ct, Detroit, MI 48206","$80,000",4,1.0,1580
"16189 Inverness St, Detroit, MI 48221","$160,000",3,2.0,1578
"49 Lawrence St, Detroit, MI 48202","$389,000",5,4.0,3245
"14537 Penrod St, Detroit, MI 48223","$200,000",4,2.0,2079
"9938 Whitcomb St, Detroit, MI 48227","$100,000",4,2.0,1480
"8250 Beaverland, Detroit, MI 48239","$183,500",3,2.0,1400
"7838 Clayburn St, Detroit, MI 48228","$99,850",3,1.0,2000
"5783 Bluehill St, Detroit, MI 48224","$155,000",3,2.0,1500
"17550 Indiana St, Detroit, MI 48221","$274,900",5,3.0,3020
"2030 11th St, Detroit, MI 48216","$599,000",3,2.0,1828
"3445 Santa Maria St, Detroit, MI 48221","$379,900",4,3.0,2400
"17601 Pennington Dr, Detroit, MI 48221","$220,000",3,2.0,1553
"12937 Santa Clara St, Detroit, MI 48235","$145,000",3,2.0,1487
"3648 Mack Ave, Detroit, MI 48207","$74,000",4,2.0,2174
"2538 Fullerton St, Detroit, MI 48238","$32,000",5,2.0,1635
"10327 W Outer Dr, Detroit, MI 48223","$215,000",3,2.0,2127
"17151 Rosemont Ave, Detroit, MI 48219","$219,999",4,3.0,2195
"3427 Townsend St, Detroit, MI 48214","$244,900",3,2.0,1542
"19340 Appoline St, Detroit, MI 48235","$210,000",3,2.0,2077
"1040 McKinstry St, Detroit, MI 48209","$179,900",3,2.0,1579
"1457 Van Dyke St, Detroit, MI 48214","$325,000",3,3.0,1040
"13900 Penrod St, Detroit, MI 48223","$139,000",3,1.0,1230
"1532 Livernois Ave, Detroit, MI 48209","$245,000",4,3.0,1440
"18911 Prevost St, Detroit, MI 48235","$17,500",3,1.0,865
"7660 Dacosta, Detroit, MI 48239","$89,000",2,1.0,689
"330 Melbourne St, Detroit, MI 48202","$409,000",5,5.0,3032
"9982 Minock St, Detroit, MI 48228","$126,000",3,2.0,1289
"576 King St, Detroit, MI 48202","$275,000",4,2.0,1722
"14046 Eastburn St, Detroit, MI 48205","$89,900",3,1.0,1126
"17520 Northlawn St, Detroit, MI 48221","$319,900",6,2.0,3016
"4473 Fischer St, Detroit, MI 48214","$250,000",5,4.0,1920
"17190 Woodingham Dr, Detroit, MI 48221","$349,999",4,3.0,2965
"10718 Wayburn St, Detroit, MI 48224","$74,900",3,1.0,1165
"4434 Seminole St, Detroit, MI 48214","$299,999",4,2.0,1942
"1989 W Grand Blvd, Detroit, MI 48208","$369,900",5,2.0,3097
"16176 Ohio St, Detroit, MI 48221","$220,000",4,2.0,2324
"8165 Coyle St, Detroit, MI 48228","$199,900",4,3.0,3328
"680 Virginia Park St, Detroit, MI 48202","$429,900",4,3.0,4165
"18050 Wisconsin St, Detroit, MI 48221","$309,000",3,3.0,3003
"6556 Firwood St, Detroit, MI 48210","$155,000",4,3.0,1552
"14329 Montrose St, Detroit, MI 48227","$99,900",4,2.0,1775
"16604 Parkside St, Detroit, MI 48221","$349,000",5,4.0,3862
"15080 Steel St, Detroit, MI 48227","$62,500",4,2.0,1296
"15907 Kentfield St, Detroit, MI 48223","$195,000",3,3.0,1432
"19687 Appleton St, Detroit, MI 48219","$134,900",3,2.0,1874
"15370 Biltmore St, Detroit, MI 48227","$205,000",4,3.0,1660
"19819 Prairie St, Detroit, MI 48221","$90,000",2,2.0,1560
